Courier Slug,Courier Name
ups,UPS
usps,USPS
fedex,FedEx®
china-ems,China EMS (ePacket)
china-post,China Post
dhl-global-mail,DHL eCommerce Solutions
dhl-germany,Deutsche Post DHL
dhl-ecommerce-gc,DHL eCommerce Greater China
australia-post,Australia Post
dsv,DSV
la-poste-colissimo,La Poste
yunexpress,YunExpress
dhl,DHL Express
fastway-au,Aramex Australia (formerly Fastway AU)
gls,GLS
yanwen,Yanwen
poste-italiane,Poste Italiane
sypost,Sunyou Post
gls-italy,GLS Italy
colissimo,Colissimo
4px,4PX
dpd,DPD
equick-cn,Equick China
ups-mi,UPS Mail Innovations
hermes-de,Hermes Germany
buylogic,Buylogic
dpd-uk,DPD UK
bluedart,Bluedart
jcex,JCEX
bluecare,Bluecare Express Ltd
xpressbees,XpressBees
ontrac,OnTrac
sf-express,SF Express
yodel,Yodel Domestic
hermes,Hermesworld
canada-post,Canada Post
lasership,LaserShip
italy-sda,Italy SDA
purolator,Purolator
dhl-global-mail-asia,DHL eCommerce Asia
osm-worldwide,OSM Worldwide
osm-worldwide-sftp,OSM Worldwide
correosexpress,Correos Express
postnl-international,PostNL International
estafeta,Estafeta
myhermes-uk,EVRi
spanish-seur,Spanish Seur
chitchats,Chit Chats
india-post,India Post Domestic
sendle,Sendle
postnl,PostNL Domestic
taqbin-jp,Yamato Japan
mondialrelay,Mondial Relay
spain-correos-es,Correos de España
wanbexpress,WanbExpress
flytexpress,Flyt Express
exapaq,DPD France (formerly exapaq)
malaysia-post,Malaysia Post EMS / Pos Laju
sagawa,Sagawa
brt-it,BRT Bartolini
ec-firstclass,Chukou1
tntpost-it,Nexive (TNT Post Italy)
singapore-post,Singapore Post
dpd-de,DPD Germany
dhl-active-tracing,DHL Active Tracing
taiwan-post,Taiwan Post
russian-post,Russian Post
delhivery,Delhivery
interlink-express,DPD Local
swiss-post,Swiss Post
janio,Janio Asia
austrian-post-registered,Austrian Post (Registered)
ninjavan,Ninja Van
yusen,Yusen Logistics
whistl,Whistl
deutsch-post,Deutsche Post Mail
sfcservice,SFC-SendfromChina
aramex,Aramex
ubi-logistics,UBI Smart Parcel
carry-flap,Carry-Flap Co.,Ltd.
toll-ipec,Toll IPEC
mrw-spain,MRW
dtdc,DTDC India
tnt,TNT
ukrposhta,UkrPoshta
couriers-please,Couriers Please
tnt-uk,TNT UK
posti,Posti
emirates-post,Emirates Post
alliedexpress,Allied Express
cnexps,CNE Express
apc-overnight,APC Overnight
portugal-ctt,Portugal CTT
poczta-polska,Poczta Polska
bpost,Bpost
chronopost-france,Chronopost France
newgistics,Newgistics
landmark-global,Landmark Global
lietuvos-pastas,Lietuvos Paštas
dpd-poland,DPD Poland
star-track-express,Star Track Express
kwt,Shenzhen Jinghuada Logistics Co., Ltd
yodel-international,Yodel International
spring-gds,Spring GDS
international-seur,International Seur
cainiao,Cainiao
wishpost,WishPost
dhlparcel-nl,DHL Parcel NL
taxydromiki,Geniki Taxydromiki
topyou,TopYou
israel-post,Israel Post
omniparcel,Omni Parcel
dbschenker-se,DB Schenker
parcel-force,Parcel Force
zto-express,ZTO Express
hong-kong-post,Hong Kong Post
parcel2go,Parcel2Go
japan-post,Japan Post
kpost,Korea Post
professional-couriers,Professional Couriers
yrc,YRC
tourline,CTT Express
etotal,eTotal Solution Limited
postnl-3s,PostNL International 3S
bpost-international,Bpost international
thailand-post,Thailand Thai Post
jtexpress,J&T EXPRESS MALAYSIA
sekologistics,SEKO Logistics
yto,YTO Express
seino,Seino
xdp-uk,XDP Express
brt-it-parcelid,BRT Bartolini(Parcel ID)
oca-ar,OCA Argentina
tnt-au,TNT Australia
star-track,StarTrack
boxc,BoxC
sfb2c,SF International
cjpacket,CJ Packet
colis-prive,Colis Privé
averitt,Averitt Express
korea-post,Korea Post EMS
postnord,PostNord Logistics
tnt-it,TNT Italy
qxpress,Qxpress
paack-webhook,Paack
gls-spain,GLS Spain
brazil-correios,Brazil Correios
asendia-usa,Asendia USA
dhl-pieceid,DHL Express (Piece ID)
gdex,GDEX
wise-express,Wise Express
posten-norge,Posten Norge / Bring
loomis-express,Loomis Express
hunter-express,Hunter Express
abxexpress-my,ABX Express
india-post-int,India Post International
sending,Sending Transporte Urgente y Comunicacion, S.A.U
saia-freight,Saia LTL Freight
ziingfinalmile,Ziing
elta-courier,ELTA Hellenic Post
sweden-posten,PostNord Sweden
tnt-fr,TNT France
ceska-posta,Česká Pošta
shippit,Shippit
estes,Estes
rl-carriers,RL Carriers
firstmile,FirstMile
ekart,Ekart
geodis-calberson-fr,GEODIS - Distribution & Express
canpar,Canpar Courier
uk-mail,UK Mail
wiseloads,Wiseloads
globegistics,Globegistics Inc.
bgpost,Bulgarian Posts
